"Ano";"Favorito ";"Azar";"CF_(x)";"V/D"
2006;"Alemanha";"Costa Rica";"0.26";1
2006;"Polonia";"Equador";"0.90";0
2006;"Inglaterra";"Paraguai";"0.61";1
2006;"Holanda";"Servia";"0.89";1
2006;"Portugal";"Angola";"0.33";1
2006;"Australia";"Japao";"1.50";1
2006;"Italia";"Gana";"0.5";1
2006;"Coreia do Sul";"Togo";"1.04";1
2006;"Franca";"Suica";"0.65";0
2006;"Brasil";"Croacia";"0.40";1
2006;"Equador";"Costa Rica";"0.90";1
2006;"Inglaterra";"Trindade";"0.13";1
2006;"Suecia";"Paraguai";"0.90";1
2006;"Holanda";"Costa do Marfim";"0.90";1
2006;"Mexico";"Angola";"0.40";0
2006;"Portugal";"Ira";"0.30";1
2006;"Republica Tcheca";"Gana";"0.61";0
2006;"Croacia";"Japao";"0.61";0
2006;"Brasil";"Australia";"0.20";1
2006;"Franca";"Coreia do Sul";"0.44";0
2006;"Suica";"Togo";"0.44";1
2006;"Ucrania";"Arabia Saudita";"0.40";1
2006;"Paraguai";"Trindade";"0.80";1
2006;"Portugal";"Mexico";"1.20";1
2006;"Ira";"Angola";"1.40";0
2006;"Argentina";"Holanda";"1.00";0
2006;"Costa do Marfim";"Servia";"1.10";1
2006;"Gana";"EUA";"1.20";1
2006;"Italia";"Republica Tchaca";"0.95";1
2006;"Brasil";"Japao";"0.21";1
2006;"Croacia";"Australia";"1.23";0
2006;"Ucrania";"Tunisia";"0.59";1
2006;"Espanha";"Arabia Saudita";"0.14";1
2006;"Franca";"Togo";"0.14";1
2006;"Suica";"Coreia do Sul";"0.99";1
2006;"Alemanha";"Suecia";"0.63";1
2006;"Argentina";"Mexico";"0.37";0
2006;"Inglaterra";"Equador";"0.49";1
2006;"Holanda";"Portugal";"1.35";0
2006;"Italia";"Australia";"0.51";1
2006;"Suica";"Ucrania";"1.41";0
2006;"Brasil";"Gana";"0.26";1
2006;"Espanha";"Franca";"1.32";0
2006;"Alemanha";"Argentina";"1.53";0
2006;"Italia";"Ucrania";"0.58";1
2006;"Inglaterra";"Portugal";"1.11";0
2006;"Brasil";"Franca";"0.74";0
2006;"Alemanha";"Italia";"1.38";0
2006;"Franca";"Portugal";"1.13";1
2006;"Alemanha";"Portugal";"0.85";1
2006;"Italia";"Franca";"1.51";0
2010;"Mexico";"Africa do Sul";"1.55";0
2010;"Franca";"Uruguai";"1.17";0
2010;"Coreia do Sul";"Grecia";"1.71";1
2010;"Argentina";"Nigeria";"0.40";1
2010;"Inglaterra";"EUA";"0.50";0
2010;"Eslovenia";"Argelia";"1.16";1
2010;"Servia";"Gana";"1.03";0
2010;"Alemanha";"Australia";"0.50";1
2010;"Holanda";"Dinamarca";"0.51";1
2010;"Camaroes";"Japao";"1.16";0
2010;"Italia";"Paraguai";"1.13";0
2010;"Eslovaquia";"Nova Zelandia";"0.49";0
2010;"Portugal";"Costa do Marfim";"1.09";0
2010;"Brasil";"Coreia do Norte";"0.10";1
2010;"Chile";"Honduras";"0.68";1
2010;"Espanha";"Suica";"0.27";0
2010;"Uruguai";"Africa do Sul";"1.39";1
2010;"Argentina";"Coreia do Sul";"0.50";1
2010;"Nigeria";"Grecia";"1.07";0
2010;"Franca";"Mexico";"1.09";0
2010;"Alemanha";"Servia";"0.62";0
2010;"EUA";"Eslovenia";"1.11";0
2010;"Inglaterra";"Argelia";"0.23";0
2010;"Holanda";"Japao";"0.43";1
2010;"Gana";"Australia";"1.30";0
2010;"Dinamarca";"Camaroes";"1.52";1
2010;"Paraguai";"Eslovaquia";"1.05";1
2010;"Italia";"Nova Zelandia";"0.21";0
2010;"Brasil";"Costa do Marfim";"0.72";1
2010;"Portugal";"Coreia do Norte";"0.36";1
2010;"Chile";"Suica";"1.16";1
2010;"Espanha";"Honduras";"0.11";1
2010;"Uruguai";"Mexico";"2.70";1
2010;"Franca";"Africa do Sul";"1.10";0
2010;"Coreia do Sul";"Nigeria";"1.44";0
2010;"Argentina";"Grecia";"0.48";1
2010;"EUA";"Argelia";"0.87";1
2010;"Inglaterra";"Eslovenia";"0.44";1
2010;"Alemanha";"Gana";"0.45";1
2010;"Servia";"Australia";"0.85";0
2010;"Italia";"Eslovaquia";"0.54";0
2010;"Paraguai";"Nova Zelandia";"0.39";0
2010;"Dinamarca";"Japao";"1.22";0
2010;"Holanda";"Camaroes";"0.66";1
2010;"Brasil";"Portugal";"1.33";0
2010;"Costa do Marfim";"Coreia do Norte";"0.35";1
2010;"Suica";"Honduras";"0.52";0
2010;"Espanha";"Chile";"0.48";1
2010;"Uruguai";"Coreia do Sul";"0.85";1
2010;"EUA";"Gana";"1.42";0
2010;"Inglaterra";"Alemanha";"1.61";0
2010;"Argentina";"Mexico";"0.60";1
2010;"Holanda";"Eslovaquia";"0.39";1
2010;"Brasil";"Chile";"0.52";1
2010;"Paraguai";"Japao";"1.17";0
2010;"Espanha";"Portugal";"0.98";1
2010;"Brasil";"Holanda";"0.97";0
2010;"Uruguai";"Gana";"0.88";0
2010;"Argentina";"Alemanha";"1.30";0
2010;"Espanha";"Paraguai";"0.42";1
2010;"Holanda";"Uruguai";"0.67";1
2010;"Espanha";"Alemanha";"1.56";1
2010;"Alemanha";"Uruguai";"0.89";1
2010;"Espanha";"Holanda";"1.02";0
2014;"Brasil";"Croacia";"0.32";1
2014;"Mexico";"Camaroes";"1.18";1
2014;"Espanha";"Holanda";"0.83";0
2014;"Chile";"Australia";"0.42";1
2014;"Colombia";"Grecia";"0.86";1
2014;"Uruguai";"Costa Rica";"0.43";0
2014;"Inglaterra";"Italia";"1.54";0
2014;"Costa do Marfim";"Japao";"1.70";1
2014;"Suica";"Equador";"1.41";1
2014;"Franca";"Honduras";"0.27";1
2014;"Argentina";"Bosnia";"0.31";1
2014;"Alemanha";"Portugal";"1.05";1
2014;"Nigeria";"Ira";"0.82";0
2014;"Gana";"EUA";"1.42";0
2014;"Belgica";"Argelia";"0.33";1
2014;"Brasil";"Mexico";"0.33";0
2014;"Russia";"Coreia do Sul";"0.81";0
2014;"Holanda";"Australia";"0.23";1
2014;"Espanha";"Chile";"0.57";0
2014;"Croacia";"Camaroes";"0.67";1
2014;"Colombia";"Costa do Marfim";"1.04";1
2014;"Inglaterra";"Uruguai";"0.95";0
2014;"Japao";"Grecia";"1.37";0
2014;"Italia";"Costa Rica";"0.56";0
2014;"Franca";"Suica";"0.87";1
2014;"Equador";"Honduras";"0.60";1
2014;"Argentina";"Ira";"0.14";1
2014;"Alemanha";"Gana";"0.32";0
2014;"Bosnia";"Nigeria";"0.87";0
2014;"Belgica";"Russia";"1.21";1
2014;"Coreia do Sul";"Argelia";"1.49";0
2014;"Portugal";"EUA";"0.75";0
2014;"Italia";"Uruguai";"1.54";0
2014;"Inglaterra";"Costa Rica";"0.79";0
2014;"Colombia";"Japao";"1.07";1
2014;"Costa do Marfim";"Grecia";"0.96";0
2014;"Argentina";"Nigeria";"0.45";1
2014;"Bosnia";"Ira";"1.23";1
2014;"Suica";"Honduras";"0.48";1
2014;"Franca";"Equador";"0.62";0
2014;"Alemanha";"EUA";"0.68";1
2014;"Portugal";"Gana";"0.78";1
2014;"Belgica";"Coreia do Sul";"0.83";1
2014;"Russia";"Argelia";"1.02";0
2014;"Brasil";"Chile";"0.53";0
2014;"Colombia";"Uruguai";"1.13";1
2014;"Holanda";"Mexico";"1.11";1
2014;"Costa Rica";"Grecia";"1.65";0
2014;"Franca";"Nigeria";"0.41";1
2014;"Alemanha";"Argelia";"0.31";0
2014;"Argentina";"Suica";"0.56";0
2014;"Belgica";"EUA";"1.03";0
2014;"Alemanha";"Franca";"1.72";1
2014;"Brasil";"Colombia";"0.79";1
2014;"Argentina";"Belgica";"1.00";1
2014;"Holanda";"Costa Rica";"0.52";0
2014;"Brasil";"Alemanha";"1.69";0
2014;"Argentina";"Holanda";"1.56";0
2014;"Brasil";"Holanda";"1.17";0
2014;"Alemanha";"Argentina";"1.32";0
2018;"Russia";"Arabia Saudita";"0.49";1
2018;"Uruguai";"Egito";"0.71";1
2018;"Marrocos";"Ira";"1.3";0
2018;"Espanha";"Portugal";"1.07";0
2018;"Franca";"Australia";"0.28";1
2018;"Argentina";"Islandia";"0.36";0
2018;"Dinamarca";"Peru";"1.35";1
2018;"Croacia";"Nigeria";"0.91";1
2018;"Servia";"Costa Rica";"1.0";1
2018;"Alemanha";"Mexico";"0.53";0
2018;"Brasil";"Suica";"0.50";0
2018;"Suecia";"Coreia do Sul";"1.3";1
2018;"Belgica";"Panama";"0.25";1
2018;"Inglaterra";"Tunisia";"0.5";1
2018;"Colombia";"Japao";"0.92";0
2018;"Polonia";"Senegal";"1.55";0
2018;"Russia";"Egito";"1.05";1
2018;"Portugal";"Marrocos";"0.74";1
2018;"Uruguai";"Arabia Saudita";"0.25";1
2018;"Espanha";"Ira";"0.25";1
2018;"Dinamarca";"Australia";"1.05";0
2018;"Franca";"Peru";"0.63";1
2018;"Argentina";"Croacia";"1.15";0
2018;"Brasil";"Costa Rica";"0.23";1
2018;"Islandia";"Nigeria";"1.85";0
2018;"Servia";"Suica";"2.02";0
2018;"Belgica";"Tunisia";"0.38";1
2018;"Mexico";"Coreia do Sul";"0.75";1
2018;"Alemanha";"Suecia";"0.54";1
2018;"Inglaterra";"Panama";"0.25";1
2018;"Senegal";"Japao";"1.85";0
2018;"Colombia";"Polonia";"1.40";1
2018;"Egito";"Arabia Saudita";"0.85";0
2018;"Uruguai";"Russia";"2.06";1
2018;"Espanha";"Marrocos";"0.41";0
2018;"Portugal";"Ira";"0.67";0
2018;"Peru";"Australia";"1.55";1
2018;"Franca";"Dinamarca";"1.10";0
2018;"Croacia";"Islandia";"0.91";1
2018;"Argentina";"Nigeria";"0.52";1
2018;"Alemanha";"Coreia do Sul";"0.20";0
2018;"Mexico";"Suecia";"1.30";0
2018;"Brasil";"Servia";"0.52";1
2018;"Suica";"Costa Rica";"0.65";0
2018;"Polonia";"Japao";"2.06";1
2018;"Colombia";"Senegal";"0.85";1
2018;"Inglaterra";"Belgica";"1.67";0
2018;"Tunisia";"Panama";"0.92";1
2018;"Franca";"Argentina";"1.55";1
2018;"Portugal";"Uruguai";"1.80";0
2018;"Espanha";"Russia";"0.63";0
2018;"Croacia";"Dinamarca";"1.05";1
2018;"Brasil";"Mexico";"0.53";1
2018;"Belgica";"Japao";"0.48";1
2018;"Suica";"Suecia";"1.65";0
2018;"Inglaterra";"Colombia";"1.20";1
2018;"Franca";"Uruguai";"1.10";1
2018;"Brasil";"Belgica";"1.17";0
2018;"Inglaterra";"Suecia";"0.88";1
2018;"Croacia";"Russia";"1.20";1
2018;"Franca";"Belgica";"1.70";1
2018;"Inglaterra";"Croacia";"1.35";0
2018;"Belgica";"Inglaterra";"1.30";1
2018;"Franca";"Croacia";"1.20";1
